id,place_id,p_name,p_branch,small_details,average_budget,category,location,min_price,max_price,logo,more_details
1,2540806,"Dar el yemen",fisal,"yemenite restaurant",1305,Restaurants,https://goo.gl/maps/JjMEzBZVtMmZexXPA,10,2600,0880806.png,
2,4425779455,McDonalds,zamalek,"fast food restaurant",135,Restaurants,https://goo.gl/maps/aZTtanCvRHe5Lt268,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
3,6585,McDonalds,fisal,"fast food restaurant",135,Restaurants,https://goo.gl/maps/BVwPART6QEccYnsV7,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
4,3356,McDonalds,"el manial","fast food restaurant",135,Restaurants,https://goo.gl/maps/DRoYSspJbZQiPDJC9,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
5,442578,McDonalds,"el shiekh zayed","fast food restaurant",135,Restaurants,https://goo.gl/maps/MKCXB1QZUyoZMhHG6,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
6,5354652,McDonalds,"6th october","fast food restaurant",135,Restaurants,https://goo.gl/maps/HWXNd5RekewLh1Gi6,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
7,29192,McDonalds,"el mohandseen","fast food restaurant",135,Restaurants,https://goo.gl/maps/TKyB1LYjmq2Q33tm8,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
8,43096,"Karam El Sham",fisal,"Syrian restaurant",222.5,Restaurants,https://goo.gl/maps/sdBFUs7yLZtrX8o79,30,415,94950.png,"sells syrian food including chicken and beef shawrma"
9,4618,"Dunkin Donuts",zamalek,"dount shop",75.5,Cafe,https://goo.gl/maps/GTbYmSeuw82t3Qb38,15,136,5279453712.png,"dount shop/ cafe"
10,9904433,"Tivoli White",zamalek,"food court",95,Restaurants,https://goo.gl/maps/BoLYD4BLGH1tLM4XA,10,180,90111981.jpeg,"a nice place to hangout/ eat"
11,785783374,Starbucks,zamalek,"coffee shop",61,Cafe,https://goo.gl/maps/nBU1THYKseR2uT2P9,12,110,96116149.jpeg,"sells coffee "
12,30986,Wimpy,zamalek,"fast food restaurant",77.5,Restaurants,https://goo.gl/maps/RB3WHfgju3kQAy5X8,25,130,36416989.jpeg,
13,7502,"Bucharest Black",zamalek,Cafe,120,Cafe,https://goo.gl/maps/b5gYYHDS4yuycXX69,40,200,40913.jpeg,
14,2214,"Anas al-Dimashqi",zamalek,"fast food restaurant",165.5,Cafe,https://goo.gl/maps/ioEB1DCkJDNya28U8,25,306,default_logo.png,
15,47893,"Grand Egyptian Museum",haram,"a museum",0,Museums,https://goo.gl/maps/CKFLsobaqmTDDvmCA,0,0,default_logo.png,
16,1926167,"Aisha Fahmy Palace",zamalek,"art galary",0,Museums,https://goo.gl/maps/4zMw7JTYGgcMSCgJ9,0,0,default_logo.png,
17,37934375,"Dunkin Donuts ","el doki","dount shop",75.5,Cafe,https://goo.gl/maps/yDh8qosMFGNpZphu6,15,136,22050178.png,"dount shop/ cafe"
18,28048237,Cinnabon,"el doki","coffee shop",298.5,Cafe,https://goo.gl/maps/Xfjt6gMwk61kv8Ts9,31,566,7432469931.png,
19,76436336,McDonalds,"el doki","fast food restaurant",135,Restaurants,https://goo.gl/maps/LVWdeLqsGDRuPdrJA,20,250,733159560.png,"sells chicken and beef sandwiches also drinks"
20,62280148,"Koshary El Tahrir ","el doki","Koshari restaurant",74,Restaurants,https://goo.gl/maps/NoLiUGahdKLwo8dM7,18,130,841560428.jpeg,
21,5161227,Gad,"el doki","fast food restaurant",255,Restaurants,https://goo.gl/maps/UdWBayaZZwar6iCY6,50,460,728573415.jpeg,"Egyptian restaurant"
22,190326,"Costa Coffee","el doki","coffee shop",82.5,Cafe,https://goo.gl/maps/vuKBS97mxKcbzyF89,25,140,79851468.png,
23,554079,"Papa Johns","el doki","Pizza restaurant",85,Restaurants,https://goo.gl/maps/6ob8hKkyQC2qei8j8,40,130,3351037798.png,
24,660412,Rosto,"el shiekh zayed","Syrian restaurant",160,Restaurants,https://goo.gl/maps/aZGmx6FnExQps1WM8,20,300,2845020.png,
